Winner,Loser,Date,PD,Location,Loc,winScore,loseScore,winID,loseID,GameType
Conner,Highlands,01/09/20,12,Conner,1,73,61,57,121,0
Corbin,Red Bird,01/09/20,8,Corbin,1,64,56,59,213,0
Fleming County,Bracken County,01/09/20,26,Bracken County,0,74,48,87,28,0
George Rogers Clark,Paris,01/09/20,18,Paris,0,65,47,101,199,0
Harlan County,Perry County Central,01/09/20,17,Perry County Central,0,81,64,112,202,0
Ludlow,Heritage Academy,01/09/20,25,Heritage Academy,0,78,53,154,119,0
Madisonville-North Hopkins,Dawson Springs,01/09/20,8,Dawson Springs,0,90,82,159,68,0
Mayfield,OUT_STATE,01/09/20,9,OUT_STATE,0,56,47,166,0,0
OUT_STATE,Pike County Central,01/09/20,4,Pike County Central,0,59,55,0,204,0
Phelps,Prestonsburg,01/09/20,11,Phelps,1,65,54,203,210,0
Shawnee,Beth Haven,01/09/20,5,Beth Haven,0,60,55,226,19,0
Shelby Valley,East Ridge,01/09/20,20,East Ridge,0,61,41,228,76,0
Southwestern,McCreary Central,01/09/20,22,Southwestern,1,76,54,235,168,0
St. Mary,Christian Fellowship,01/09/20,8,St. Mary,1,63,55,239,52,0
Waggener,Doss,01/09/20,7,Waggener,1,64,57,254,72,0
Warren Central,Warren East,01/09/20,44,Warren East,0,83,39,257,258,0
West Carter,East Carter,01/09/20,13,East Carter,0,46,33,262,74,0
Whitley County,OUT_STATE,01/09/20,44,Whitley County,1,80,36,267,0,0
Nicholas County,St. Patrick,01/10/20,41,Neutral,2,97,56,185,240,2
Fulton City,Christian Fellowship,01/10/20,16,Neutral,2,78,62,97,52,2
Kentucky Country Day,Brown,01/10/20,26,Neutral,2,64,38,136,31,2
Gallatin County,Williamstown,01/10/20,26,Williamstown,0,70,44,99,269,2
OUT_STATE,Phelps,01/10/20,2,Neutral,2,45,43,0,203,0
Calloway County,Webster County,01/10/20,4,Neutral,2,58,54,40,261,0
Christian Academy-Louisville,Western Hills,01/10/20,7,Neutral,2,73,66,50,265,0
Corbin,McCreary Central,01/10/20,8,Neutral,2,69,61,59,168,0
Knox Central,Bell County,01/10/20,5,Neutral,2,66,61,139,16,0
Lawrence County,Magoffin County,01/10/20,7,Neutral,2,86,79,142,160,0
Lexington Catholic,Boyle County,01/10/20,22,Neutral,2,69,47,147,27,0
Trigg County,Union County,01/10/20,5,Neutral,2,53,48,246,250,0
OUT_STATE,Kentucky School f/t Deaf,01/10/20,51,Neutral,2,58,7,0,137,0
John Hardin,Lafayette,01/10/20,11,Lafayette,0,58,47,133,140,0
Marion County,Taylor County,01/10/20,18,Neutral,2,89,71,162,243,0
Allen County-Scottsville,Monroe County,01/10/20,15,Allen County-Scottsville,1,67,52,2,176,0
Anderson County,Shelby County,01/10/20,16,Shelby County,0,63,47,3,227,0
Apollo,Daviess County,01/10/20,0.5,Apollo,1,54,52,4,67,0
Ashland Blazer,Russell,01/10/20,40,Ashland Blazer,1,70,30,5,218,0
Ballard,DuPont Manual,01/10/20,6,Ballard,1,68,62,8,73,0
Bardstown,Nelson County,01/10/20,23,Bardstown,1,81,58,11,182,0
Barren County,Adair County,01/10/20,34,Barren County,1,68,34,12,1,0
Bowling Green,Greenwood,01/10/20,8,Bowling Green,1,71,63,25,109,0
Breckinridge County,Frederick Fraize,01/10/20,41,Breckinridge County,1,62,21,30,96,0
Butler,Pleasure Ridge Park,01/10/20,3,Pleasure Ridge Park,0,65,62,37,207,0
Butler County,Grayson County,01/10/20,8,Butler County,1,56,48,38,105,0
Calvary Christian,Dayton,01/10/20,11,Dayton,0,71,60,41,69,0
Campbell County,St. Henry,01/10/20,1,Campbell County,1,56,55,42,238,0
Carlisle County,Hickman County,01/10/20,21,Carlisle County,1,68,47,44,120,0
Clay County,North Laurel,01/10/20,2,North Laurel,0,75,73,53,188,0
Clinton County,Metcalfe County,01/10/20,6,Clinton County,1,62,56,54,173,0
Collins,Spencer County,01/10/20,17,Spencer County,0,69,52,55,236,0
Cooper,Boone County,01/10/20,15,Cooper,1,56,41,58,23,0
Covington Catholic,Newport,01/10/20,12,Covington Catholic,1,68,56,61,183,0
Cumberland County,Russell County,01/10/20,7,Russell County,0,59,52,64,219,0
Danville,Lincoln County,01/10/20,0.5,Danville,1,58,49,65,149,0
DeSales,Bethlehem,01/10/20,24,DeSales,1,75,51,70,20,0
Dixie Heights,Ryle,01/10/20,9,Ryle,0,68,59,71,221,0
Doss,Moore,01/10/20,18,Doss,1,64,46,72,178,0
Eastern,Montgomery County,01/10/20,1,Montgomery County,0,71,70,77,177,0
Edmonson County,Trinity (Whitesville),01/10/20,5,Trinity (Whitesville),0,64,59,78,249,0
Elizabethtown,Central Hardin,01/10/20,12,Elizabethtown,1,53,41,79,49,0
Fairdale,Western,01/10/20,10,Fairdale,1,83,73,84,264,0
Fern Creek,Bullitt East,01/10/20,3,Bullitt East,0,51,48,86,35,0
Franklin County,Frankfort,01/10/20,7,Frankfort,0,54,47,93,91,0
Franklin-Simpson,Todd County Central,01/10/20,13,Todd County Central,0,55,42,94,245,0
Greenup County,OUT_STATE,01/10/20,64,Greenup County,1,109,45,108,0,0
Hancock County,Meade County,01/10/20,5,Meade County,0,59,54,110,170,0
Hart County,Caverna,01/10/20,29,Caverna,0,92,63,114,47,0
Henry Clay,Scott County,01/10/20,9,Scott County,0,68,59,117,224,0
Hopkins County Central,Fort Campbell,01/10/20,10,Fort Campbell,0,51,41,126,89,0
Jeffersontown,Southern,01/10/20,3,Southern,0,69,66,131,234,0
Lee County,June Buchanan,01/10/20,12,June Buchanan,0,76,64,143,135,0
Lewis County,Elliott County,01/10/20,24,Lewis County,1,74,50,146,80,0
Lexington Christian,Paul Laurence Dunbar,01/10/20,1,Paul Laurence Dunbar,0,44,43,148,200,0
Logan County,Russellville,01/10/20,35,Logan County,1,72,37,152,220,0
Lyon County,Livingston Central,01/10/20,24,Lyon County,1,75,51,156,150,0
Madison Southern,Berea,01/10/20,12,Berea,0,64,52,158,18,0
Madisonville-North Hopkins,Caldwell County,01/10/20,29,Caldwell County,0,90,61,159,39,0
Male,St. Xavier,01/10/20,8,Male,1,82,74,161,241,0
Mayfield,Graves County,01/10/20,0.5,Graves County,0,49,48,166,104,0
McCracken County,Marshall County,01/10/20,5,McCracken County,1,58,53,167,163,0
McLean County,Ohio County,01/10/20,1,Ohio County,0,53,52,169,190,0
Muhlenberg County,Henderson County,01/10/20,11,Henderson County,0,62,51,180,116,0
Newport Central Catholic,Holmes,01/10/20,0.5,Newport Central Catholic,1,74,68,184,123,0
North Bullitt,Bullitt Central,01/10/20,28,North Bullitt,1,91,63,186,34,0
North Hardin,Fort Knox,01/10/20,37,North Hardin,1,72,35,187,90,0
North Oldham,Valley,01/10/20,13,North Oldham,1,62,49,189,252,0
Oldham County,Beechwood,01/10/20,13,Oldham County,1,67,54,191,14,0
Oneida Baptist Institute,Jenkins,01/10/20,36,Oneida Baptist Institute,1,70,34,192,132,0
Owen County,Frankfort Christian,01/10/20,72,Frankfort Christian,0,95,23,193,92,0
Owensboro,Owensboro Catholic,01/10/20,0.5,Owensboro Catholic,0,56,54,194,195,0
Owsley County,Burgin,01/10/20,23,Owsley County,1,87,64,196,36,0
Paintsville,Johnson Central,01/10/20,2,Paintsville,1,62,60,198,134,0
Portland Christian,Danville Christian,01/10/20,0.5,Portland Christian,1,61,50,208,66,0
Pulaski County,Rockcastle County,01/10/20,29,Rockcastle County,0,85,56,211,215,0
Seneca,Central,01/10/20,0.5,Central,0,68,64,225,48,0
Simon Kenton,Holy Cross (Covington),01/10/20,2,Simon Kenton,1,79,77,229,124,0
Somerset,Casey County,01/10/20,32,Somerset,1,78,46,230,46,0
South Oldham,Iroquois,01/10/20,26,Iroquois,0,95,69,232,128,0
South Warren,Glasgow,01/10/20,11,South Warren,1,72,61,233,102,0
Tates Creek,LaRue County,01/10/20,9,LaRue County,0,61,52,242,141,0
Trinity (Louisville),Great Crossing,01/10/20,13,Trinity (Louisville),1,65,52,248,106,0
University Heights,Hopkinsville,01/10/20,0.5,University Heights,1,71,66,251,127,0
Villa Madonna,Bellevue,01/10/20,10,Bellevue,0,66,56,253,17,0
Waggener,Shawnee,01/10/20,25,Shawnee,0,64,39,254,226,0
Wayne County,Perry County Central,01/10/20,16,Perry County Central,0,80,64,260,202,0
West Jessamine,Model,01/10/20,16,Model,0,56,40,263,175,0
Woodford County,Estill County,01/10/20,4,Woodford County,1,50,46,271,82,0
Bishop Brossart,Calvary Christian,01/11/20,0.5,Neutral,2,56,51,22,41,2
Paris,Augusta,01/11/20,2,Neutral,2,49,47,199,7,2
Robertson County,Bracken County,01/11/20,3,Robertson County,1,53,50,214,28,2
Harlan,Barbourville,01/11/20,6,Neutral,2,71,65,111,10,2
Middlesboro,Lynn Camp,01/11/20,3,Neutral,2,51,48,174,155,2
Red Bird,Jackson County,01/11/20,1,Neutral,2,70,69,213,130,2
Williamsburg,Oneida Baptist Institute,01/11/20,10,Williamsburg,1,88,78,268,192,2
Hazard,Cordia,01/11/20,7,Neutral,2,49,42,115,60,2
Knott County Central,Buckhorn,01/11/20,10,Neutral,2,61,51,138,33,2
Bath County,Rose Hill Christian,01/11/20,26,Neutral,2,79,53,13,216,2
Raceland,Fairview,01/11/20,14,Raceland,1,70,56,212,85,2
West Carter,Menifee County,01/11/20,25,Neutral,2,81,56,262,171,2
Ballard Memorial,Community Christian (Paducah),01/11/20,38,Neutral,2,59,21,9,56,2
Mayfield,Hickman County,01/11/20,12,Mayfield,1,56,44,166,120,2
St. Mary,Fulton County,01/11/20,9,Neutral,2,56,47,239,98,2
Kentucky Country Day,Whitefield Academy,01/11/20,2,Neutral,2,52,50,136,266,2
Louisville Collegiate,Walden,01/11/20,43,Neutral,2,80,37,153,255,2
Walden,St. Francis,01/11/20,12,Neutral,2,92,80,255,237,2
Logan County,Madison Central,01/11/20,17,Neutral,2,74,57,152,157,0
Russell County,Rockcastle County,01/11/20,14,Russell County,1,66,52,219,215,0
Harlan County,Montgomery County,01/11/20,4,Neutral,2,71,67,112,177,0
North Laurel,Southwestern,01/11/20,0.5,Neutral,2,65,64,188,235,0
OUT_STATE,Belfry,01/11/20,12,Neutral,2,57,45,0,15,0
Phelps,OUT_STATE,01/11/20,6,Neutral,2,51,45,203,0,0
Pikeville,OUT_STATE,01/11/20,2,Neutral,2,53,51,205,0,0
OUT_STATE,East Ridge,01/11/20,8,Neutral,2,80,72,0,76,0
OUT_STATE,Shelby Valley,01/11/20,21,Neutral,2,54,33,0,228,0
Bourbon County,Rowan County,01/11/20,4,Neutral,2,57,53,24,217,0
Calloway County,Trigg County,01/11/20,19,Neutral,2,62,43,40,246,0
Knox Central,Corbin,01/11/20,5,Neutral,2,75,70,139,59,0
Lexington Catholic,Mercer County,01/11/20,3,Neutral,2,60,57,147,172,0
Warren Central,Franklin-Simpson,01/11/20,12,Neutral,2,58,46,257,94,0
OUT_STATE,Kentucky School f/t Deaf,01/11/20,12,Neutral,2,43,31,0,137,0
OUT_STATE,Kentucky School f/t Deaf,01/11/20,30,Neutral,2,53,23,0,137,0
John Hardin,Marion County,01/11/20,6,Neutral,2,57,51,133,162,0
Adair County,Thomas Nelson,01/11/20,10,Thomas Nelson,0,68,58,1,244,0
Anderson County,Powell County,01/11/20,36,Anderson County,1,55,19,3,209,0
Apollo,Dawson Springs,01/11/20,33,Dawson Springs,0,95,62,4,68,0
OUT_STATE,Livingston Central,01/11/20,23,Livingston Central,0,64,41,0,150,0
Beth Haven,Frankfort Christian,01/11/20,29,Beth Haven,1,69,40,19,92,0
Bowling Green,Muhlenberg County,01/11/20,13,Muhlenberg County,0,68,55,25,180,0
Clay County,South Laurel,01/11/20,1,Clay County,1,59,58,53,231,0
Danville,Casey County,01/11/20,22,Casey County,0,84,62,65,46,0
East Jessamine,Whitley County,01/11/20,20,East Jessamine,1,72,52,75,267,0
Fort Knox,Burgin,01/11/20,15,Burgin,0,65,50,90,36,0
Frederick Douglass,Great Crossing,01/11/20,21,Great Crossing,0,73,52,95,106,0
George Rogers Clark,Harrison County,01/11/20,15,George Rogers Clark,1,89,74,101,113,0
Glasgow,Todd County Central,01/11/20,19,Glasgow,1,56,37,102,245,0
Greenup County,OUT_STATE,01/11/20,35,Greenup County,1,77,42,108,0,0
Henry County,Lloyd Memorial,01/11/20,8,Henry County,1,82,74,118,151,0
Johnson Central,Betsy Layne,01/11/20,4,Betsy Layne,0,63,59,134,21,0
Mason County,Walton-Verona,01/11/20,17,Mason County,1,77,60,165,256,0
OUT_STATE,Villa Madonna,01/11/20,38,Villa Madonna,0,69,31,0,253,0
Oldham County,Scott County,01/11/20,15,Oldham County,1,74,59,191,224,0
Portland Christian,Heritage Academy,01/11/20,6,Heritage Academy,0,85,79,208,119,0
St. Patrick,Jackson City,01/11/20,11,St. Patrick,1,67,56,240,129,0
Woodford County,North Oldham,01/11/20,9,North Oldham,0,63,54,271,189,0
Hazard,Knott County Central,01/12/20,8,Neutral,2,62,54,115,138,2
Ashland Blazer,Boyd County,01/12/20,11,Ashland Blazer,1,71,60,5,26,0
Robertson County,Nicholas County,01/13/20,31,Robertson County,1,73,42,214,185,2
Frankfort,Berea,01/13/20,21,Frankfort,1,63,42,91,18,2
Lexington Christian,Frankfort Christian,01/13/20,68,Neutral,2,96,28,148,92,2
Somerset,Washington County,01/13/20,30,Neutral,2,62,32,230,259,2
Harlan,Williamsburg,01/13/20,4,Williamsburg,0,72,68,111,268,2
Middlesboro,Red Bird,01/13/20,16,Neutral,2,79,63,174,213,2
West Carter,Bath County,01/13/20,10,Neutral,2,75,65,262,13,2
Murray,Fulton City,01/13/20,32,Neutral,2,73,41,181,97,2
Metcalfe County,Todd County Central,01/13/20,19,Todd County Central,0,83,64,173,245,2
Campbellsville,Caverna,01/13/20,10,Campbellsville,1,74,64,43,47,2
Portland Christian,Evangel Christian,01/13/20,24,Neutral,2,73,49,208,83,2
Beechwood,Ludlow,01/13/20,39,Neutral,2,87,48,14,154,2
Newport Central Catholic,Villa Madonna,01/13/20,31,Neutral,2,73,42,184,253,2
Ballard,DeSales,01/13/20,14,Neutral,2,64,50,8,70,0
Male,Louisville Collegiate,01/13/20,23,Neutral,2,78,55,161,153,0
Pleasure Ridge Park,DuPont Manual,01/13/20,14,Neutral,2,58,44,207,73,0
Seneca,Doss,01/13/20,2,Neutral,2,51,49,225,72,0
Atherton,Valley,01/13/20,4,Atherton,1,63,59,6,252,0
Bardstown,Bethlehem,01/13/20,41,Bardstown,1,78,37,11,20,0
Butler County,Hopkins County Central,01/13/20,12,Hopkins County Central,0,66,54,38,126,0
Clinton County,Glasgow,01/13/20,12,Clinton County,1,48,36,54,102,0
East Ridge,Floyd Central,01/13/20,10,East Ridge,1,81,71,76,88,0
Elizabethtown,Hart County,01/13/20,29,Elizabethtown,1,82,53,79,114,0
Greenwood,Hopkinsville,01/13/20,13,Greenwood,1,61,48,109,127,0
Holy Cross (Louisville),OUT_STATE,01/13/20,20,Holy Cross (Louisville),1,64,44,125,0,0
Iroquois,Trimble County,01/13/20,24,Iroquois,1,84,60,128,247,0
Martin County,Magoffin County,01/13/20,19,Magoffin County,0,76,57,164,160,0
Monroe County,Russellville,01/13/20,3,Monroe County,1,51,48,176,220,0
Moore,Central,01/13/20,13,Central,0,68,55,178,48,0
Oldham County,Gallatin County,01/13/20,9,Gallatin County,0,69,60,191,99,0
South Laurel,Wayne County,01/13/20,11,Wayne County,0,65,54,231,260,0
Walton-Verona,Owen County,01/13/20,8,Owen County,0,66,58,256,193,0
Bishop Brossart,Paris,01/14/20,3,Neutral,2,56,53,22,199,2
Danville,Danville Christian,01/14/20,40,Neutral,2,82,42,65,66,2
Harlan,Middlesboro,01/14/20,16,Neutral,2,81,65,111,174,2
Paintsville,East Ridge,01/14/20,4,Neutral,2,69,65,198,76,2
Raceland,Elliott County,01/14/20,6,Raceland,1,36,30,212,80,2
Carlisle County,Ballard Memorial,01/14/20,23,Neutral,2,59,36,44,9,2
Caldwell County,Livingston Central,01/14/20,28,Livingston Central,0,72,44,39,150,2
Lyon County,Dawson Springs,01/14/20,24,Lyon County,1,104,80,156,68,2
University Heights,Crittenden County,01/14/20,41,Crittenden County,0,72,31,251,63,2
Green County,Fort Knox,01/14/20,13,Neutral,2,77,64,107,90,2
Newport Central Catholic,Bellevue,01/14/20,50,Neutral,2,72,22,184,17,2
St. Henry,Holy Cross (Covington),01/14/20,20,St. Henry,1,63,43,238,124,2
Butler,St. Xavier,01/14/20,18,Neutral,2,68,50,37,241,0
Eastern,North Bullitt,01/14/20,3,Neutral,2,68,65,77,186,0
Fern Creek,Waggener,01/14/20,18,Neutral,2,72,54,86,254,0
Trinity (Louisville),Jeffersontown,01/14/20,9,Neutral,2,48,39,248,131,0
Anderson County,Casey County,01/14/20,25,Casey County,0,66,41,3,46,0
Barren County,Warren East,01/14/20,32,Warren East,0,72,40,12,258,0
Bowling Green,South Warren,01/14/20,20,Bowling Green,1,66,46,25,233,0
Boyd County,Greenup County,01/14/20,16,Greenup County,0,68,52,26,108,0
Boyle County,Mercer County,01/14/20,4,Boyle County,1,68,64,27,172,0
Breathitt County,Leslie County,01/14/20,14,Breathitt County,1,84,70,29,144,0
Breckinridge County,Daviess County,01/14/20,8,Breckinridge County,1,63,55,30,67,0
Butler County,Frederick Fraize,01/14/20,25,Butler County,1,76,51,38,96,0
Collins,South Oldham,01/14/20,1,South Oldham,0,67,66,55,232,0
Conner,Dixie Heights,01/14/20,24,Dixie Heights,0,82,58,57,71,0
Cordia,Buckhorn,01/14/20,6,Buckhorn,0,65,59,60,33,0
Covington Catholic,Ryle,01/14/20,37,Ryle,0,90,53,61,221,0
East Carter,Morgan County,01/14/20,20,Morgan County,0,66,46,74,179,0
OUT_STATE,Boone County,01/14/20,21,Boone County,0,73,52,0,23,0
East Jessamine,Madison Southern,01/14/20,1,Madison Southern,0,66,65,75,158,0
Edmonson County,Hart County,01/14/20,2,Edmonson County,1,78,76,78,114,0
Elizabethtown,North Hardin,01/14/20,0.5,North Hardin,0,77,71,79,187,0
Estill County,Southwestern,01/14/20,11,Estill County,1,52,41,82,235,0
Franklin County,Carroll County,01/14/20,13,Carroll County,0,67,54,93,45,0
Franklin-Simpson,Allen County-Scottsville,01/14/20,6,Franklin-Simpson,1,47,41,94,2,0
Grant County,Williamstown,01/14/20,30,Williamstown,0,71,41,103,269,0
Great Crossing,Western Hills,01/14/20,4,Great Crossing,1,72,68,106,265,0
Hazard,Perry County Central,01/14/20,2,Perry County Central,0,57,55,115,202,0
Henry Clay,Bryan Station,01/14/20,1,Bryan Station,0,56,55,117,32,0
Henry County,Eminence,01/14/20,40,Henry County,1,76,36,118,81,0
Highlands,Holmes,01/14/20,18,Highlands,1,97,79,121,123,0
John Hardin,Central Hardin,01/14/20,14,Central Hardin,0,76,62,133,49,0
Johnson Central,Lawrence County,01/14/20,7,Johnson Central,1,83,76,134,142,0
June Buchanan,Jenkins,01/14/20,26,Jenkins,0,93,67,135,132,0
Lexington Catholic,LaRue County,01/14/20,7,Lexington Catholic,1,62,55,147,141,0
Lynn Camp,Pineville,01/14/20,13,Lynn Camp,1,62,49,155,206,0
Magoffin County,Letcher County Central,01/14/20,10,Magoffin County,1,81,71,160,145,0
Marshall County,Paducah Tilghman,01/14/20,5,Marshall County,1,75,70,163,197,0
McCracken County,Christian County,01/14/20,33,McCracken County,1,65,32,167,51,0
Muhlenberg County,McLean County,01/14/20,48,Muhlenberg County,1,72,24,180,169,0
Nelson County,Washington County,01/14/20,0.5,Washington County,0,55,52,182,259,0
North Laurel,Rockcastle County,01/14/20,24,Rockcastle County,0,71,47,188,215,0
OUT_STATE,Hopkinsville,01/14/20,18,Hopkinsville,0,66,48,0,127,0
Ohio County,Grayson County,01/14/20,25,Grayson County,0,72,47,190,105,0
Owensboro Catholic,Trinity (Whitesville),01/14/20,22,Trinity (Whitesville),0,70,48,195,249,0
Owsley County,Powell County,01/14/20,11,Owsley County,1,57,46,196,209,0
Pendleton County,Harrison County,01/14/20,7,Pendleton County,1,52,45,201,113,0
Phelps,Pike County Central,01/14/20,7,Phelps,1,51,44,203,204,0
Pikeville,Belfry,01/14/20,4,Pikeville,1,77,73,205,15,0
Pulaski County,Lincoln County,01/14/20,6,Pulaski County,1,56,50,211,149,0
Rowan County,Fleming County,01/14/20,28,Fleming County,0,63,35,217,87,0
Russell,Lewis County,01/14/20,10,Lewis County,0,67,57,218,146,0
Russell County,McCreary Central,01/14/20,15,Russell County,1,60,45,219,168,0
Scott County,Madison Central,01/14/20,14,Scott County,1,74,60,224,157,0
Simon Kenton,Cooper,01/14/20,19,Simon Kenton,1,65,46,229,58,0
Tates Creek,Paul Laurence Dunbar,01/14/20,17,Tates Creek,1,69,52,242,200,0
OUT_STATE,Hancock County,01/14/20,4,Hancock County,0,56,52,0,110,0
Thomas Nelson,Meade County,01/14/20,21,Thomas Nelson,1,86,65,244,170,0
Trigg County,OUT_STATE,01/14/20,4,OUT_STATE,0,68,64,246,0,0
Webster County,Apollo,01/14/20,20,Apollo,0,70,50,261,4,0
OUT_STATE,Menifee County,01/14/20,14,Menifee County,0,76,62,0,171,0
Wolfe County,Lee County,01/14/20,50,Lee County,0,91,41,270,143,0
Woodford County,George Rogers Clark,01/14/20,7,Woodford County,1,75,68,271,101,0
Frankfort,Model,01/15/20,23,Neutral,2,65,42,91,175,2
Lexington Christian,Sayre,01/15/20,8,Neutral,2,65,57,148,222,2
Paintsville,Betsy Layne,01/15/20,18,Neutral,2,64,46,198,21,2
Phelps,Jenkins,01/15/20,31,Neutral,2,89,58,203,132,2
Campbellsville,Bethlehem,01/15/20,4,Bethlehem,0,48,44,43,20,2
Beechwood,Dayton,01/15/20,32,Neutral,2,67,35,14,69,2
Lloyd Memorial,Newport,01/15/20,13,Neutral,2,63,50,151,183,2
Ballard,Butler,01/15/20,13,Neutral,2,85,72,8,37,0
Fern Creek,Seneca,01/15/20,12,Neutral,2,61,49,86,225,0
Male,Eastern,01/15/20,12,Neutral,2,65,53,161,77,0
Trinity (Louisville),Pleasure Ridge Park,01/15/20,6,Neutral,2,67,61,248,207,0
Dixie Heights,Scott,01/15/20,0.5,Dixie Heights,1,72,68,71,223,0
Frederick Douglass,Scott County,01/15/20,12,Frederick Douglass,1,73,61,95,224,0
Garrard County,Western Hills,01/15/20,9,Western Hills,0,62,53,100,265,0
Pike County Central,Prestonsburg,01/15/20,2,Pike County Central,1,48,46,204,210,0
Trimble County,Eminence,01/15/20,24,Eminence,0,80,56,247,81,0
Bishop Brossart,Robertson County,01/16/20,8,Robertson County,0,72,64,22,214,2
Somerset,Burgin,01/16/20,36,Burgin,0,69,33,230,36,2
West Carter,Raceland,01/16/20,3,Raceland,0,56,53,262,212,2
Metcalfe County,Clinton County,01/16/20,2,Neutral,2,52,50,173,54,2
Monroe County,Cumberland County,01/16/20,7,Cumberland County,0,76,69,176,64,2
Holy Cross (Louisville),Portland Christian,01/16/20,34,Neutral,2,78,44,125,208,2
Shawnee,Beth Haven,01/16/20,8,Beth Haven,0,70,62,226,19,2
Louisville Collegiate,Kentucky Country Day,01/16/20,28,Neutral,2,66,38,153,136,2
Bourbon County,Lawrence County,01/16/20,12,Neutral,2,68,56,24,142,0
John Hardin,Christian Academy-Louisville,01/16/20,17,Neutral,2,71,54,133,50,0
Lexington Catholic,Calloway County,01/16/20,12,Neutral,2,70,58,147,40,0
Warren Central,Knox Central,01/16/20,24,Neutral,2,83,59,257,139,0
Boone County,Carroll County,01/16/20,23,Carroll County,0,65,42,23,45,0
Breathitt County,Jackson City,01/16/20,8,Breathitt County,1,77,69,29,129,0
Doss,Marion County,01/16/20,14,Doss,1,66,52,72,162,0
East Carter,Rose Hill Christian,01/16/20,8,East Carter,1,74,66,74,216,0
Fairdale,Central,01/16/20,11,Fairdale,1,57,46,84,48,0
Harlan,Letcher County Central,01/16/20,2,Letcher County Central,0,68,66,111,145,0
Henry Clay,Paul Laurence Dunbar,01/16/20,8,Paul Laurence Dunbar,0,54,46,117,200,0
Heritage Academy,Evangel Christian,01/16/20,10,Heritage Academy,1,72,62,119,83,0
Hopkins County Central,Livingston Central,01/16/20,27,Hopkins County Central,1,72,45,126,150,0
Iroquois,Eminence,01/16/20,55,Iroquois,1,72,17,128,81,0
Johnson Central,Boyd County,01/16/20,7,Boyd County,0,71,64,134,26,0
Knott County Central,Cordia,01/16/20,11,Knott County Central,1,75,64,138,60,0
OUT_STATE,Bellevue,01/16/20,60,OUT_STATE,1,82,22,0,17,0
Magoffin County,Belfry,01/16/20,14,Belfry,0,68,54,160,15,0
Mason County,Campbell County,01/16/20,10,Mason County,1,74,64,165,42,0
Menifee County,Lee County,01/16/20,21,Lee County,0,89,68,171,143,0
Middlesboro,Oneida Baptist Institute,01/16/20,8,Oneida Baptist Institute,0,62,54,174,192,0
Western,Atherton,01/16/20,4,Western,1,67,63,264,6,0
Whitefield Academy,OUT_STATE,01/16/20,38,Whitefield Academy,1,92,54,266,0,0
Somerset,Danville,01/17/20,0.5,Neutral,2,72,70,230,65,2
Pikeville,Martin County,01/17/20,0.5,Neutral,2,78,71,205,164,2
Shelby Valley,Prestonsburg,01/17/20,4,Neutral,2,61,57,228,210,2
Mayfield,Carlisle County,01/17/20,10,Mayfield,1,61,51,166,44,2
Murray,St. Mary,01/17/20,15,Neutral,2,62,47,181,239,2
Caldwell County,Fort Campbell,01/17/20,38,Neutral,2,77,39,39,89,2
University Heights,Lyon County,01/17/20,20,Neutral,2,78,58,251,156,2
Metcalfe County,Monroe County,01/17/20,13,Neutral,2,51,38,173,176,2
Campbellsville,Green County,01/17/20,0.5,Neutral,2,64,63,43,107,2
Beechwood,Lloyd Memorial,01/17/20,13,Neutral,2,64,51,14,151,2
St. Henry,Newport Central Catholic,01/17/20,2,St. Henry,1,57,55,238,184,2
Ballard,Male,01/17/20,13,Neutral,2,71,58,8,161,0
Fern Creek,Trinity (Louisville),01/17/20,9,Neutral,2,54,45,86,248,0
Allen County-Scottsville,OUT_STATE,01/17/20,28,OUT_STATE,0,66,38,2,0,0
Augusta,St. Patrick,01/17/20,19,Augusta,1,83,64,7,240,0
Bardstown,Thomas Nelson,01/17/20,28,Bardstown,1,100,72,11,244,0
Bath County,Fleming County,01/17/20,17,Fleming County,0,73,56,13,87,0
Berea,Evangel Christian,01/17/20,29,Evangel Christian,0,66,37,18,83,0
Bryan Station,Frederick Douglass,01/17/20,9,Frederick Douglass,0,72,63,32,95,0
Central Hardin,Washington County,01/17/20,32,Central Hardin,1,63,31,49,259,0
Christian Fellowship,OUT_STATE,01/17/20,52,OUT_STATE,0,83,31,52,0,0
Collins,Shelby County,01/17/20,33,Collins,1,81,48,55,227,0
Community Christian (Paducah),OUT_STATE,01/17/20,8,Community Christian (Paducah),1,50,42,56,0,0
Conner,Ryle,01/17/20,24,Conner,1,71,47,57,221,0
Covington Catholic,Cooper,01/17/20,17,Cooper,0,50,33,61,58,0
Danville Christian,OUT_STATE,01/17/20,14,Danville Christian,1,70,56,66,0,0
East Jessamine,West Jessamine,01/17/20,4,East Jessamine,1,61,57,75,263,0
Edmonson County,Trinity (Whitesville),01/17/20,8,Edmonson County,1,65,57,78,249,0
Elizabethtown,Meade County,01/17/20,39,Elizabethtown,1,82,43,79,170,0
Estill County,Powell County,01/17/20,18,Estill County,1,68,50,82,209,0
Fulton City,OUT_STATE,01/17/20,55,Fulton City,1,82,27,97,0,0
George Rogers Clark,Montgomery County,01/17/20,7,Montgomery County,0,59,52,101,177,0
Grayson County,Butler County,01/17/20,0.5,Grayson County,1,47,45,105,38,0
Great Crossing,Franklin County,01/17/20,14,Franklin County,0,52,38,106,93,0
Greenwood,Warren East,01/17/20,19,Warren East,0,71,52,109,258,0
